"","ID","name","address","country","city"
"1",34,"SAME","Russia, Moscow, 107076, ул. 1-я Бухвостова, д. 12/11, корп.53","Russia","Moscow"
"2",35,"Dressing Room","Belarus, Minsk, Улица Революционная 24Б","Belarus","Minsk"
"3",36,"GeNet","Russia, Nizhny Novgorod, 603002, Russia, Nizhny Novgorod, Dolgopolov street, 50/40, 403","Russia","Nizhny Novgorod"
"4",42,"Little Stories","Russia, Saint Petersburg, Vladimirsky 17\501","Russia","Saint Petersburg"
"5",50,"SAYMON","United States, New York, Untu, Inc.  c/o Ameritax 7811 15th Avenue Brooklyn","United States","New York"
"6",60,"Swiss Laser Machine","Switzerland, Biel/Bienne, no office yet","Switzerland","Biel/Bienne"
"7",61,"DigiMeals","Switzerland, Zurich, -","Switzerland","Zurich"
"8",62,"Floofl CIC","United Kingdom, Oxford, Oxford Centre For Innovation New Road Oxford OX1 1BY UK","United Kingdom","Oxford"
"9",86,"REES46 eCommerce Marketing Suite","Russia, Saint Petersburg, Vladimirskiy prospect, 17","Russia","Saint Petersburg"
"10",90,"Malla Enterprises (ME)","Nepal, Biratnagar, Biratnagar-7 Nepal","Nepal","Biratnagar"
"11",92,"SENDA: служба доставки нового поколения","Russia, Saint Petersburg, Torfyanaya doroga, 19","Russia","Saint Petersburg"
"12",106,"RGP, Ltd","Russia, Moscow, Bolshaya Polyanka 23/3, 304","Russia","Moscow"
"13",124,"MarketMixer","Switzerland, Lausanne, 12 Rue Mercerie","Switzerland","Lausanne"
"14",145,"Flashsafe","Russia, Naberezhnye Chelny, Mashinostroitelnaya 91","Russia","Naberezhnye Chelny"
"15",165,"NAPOLY LLC","Russia, Moscow, Твардовского 8 стр 1","Russia","Moscow"
"16",185,"Saldlab LLC","United States, New York, Meadowbrook rd., 231","United States","New York"
"17",190,"Jaante","Switzerland, Zurich, Giesshubelstrasse","Switzerland","Zurich"
"18",200,"Monimen","Estonia, Tallinn, HiddenMine OU - Sepapaja tn 6, Lasnamae linnaosa, Harju maakond, 15551","Estonia","Tallinn"
"19",203,"carrot quest","Russia, Moscow, Серебряническая набережная 29","Russia","Moscow"
"20",210,"Canopy Nepal","Nepal, Kathmandu, Baluwatar","Nepal","Kathmandu"
"21",214,"Modular Innobox","South Africa, Pretoria, Unit M66, Innovation Hub, Lynwood","South Africa","Pretoria"
"22",215,"PeopleFlyPlanet","Ukraine, Zaporizhia, Ladozka","Ukraine","Zaporizhia"
"23",224,"seeusoon.io","Spain, Madrid, barq","Spain","Madrid"
"24",226,"Jobartis","Spain, Madrid, Paseo de la Castellana 176","Spain","Madrid"
"25",228,"MARAMOJA","Kenya, Nairobi, PO 2289-00606","Kenya","Nairobi"
"26",231,"ARtec.io","Russia, Moscow, по требованию","Russia","Moscow"
"27",232,"Golf Rewards (Pty) Ltd","South Africa, Pretoria, Dancing Duel Crescent, Mooikloof","South Africa","Pretoria"
"28",240,"U.M.S 'Queen'","Myanmar, Yangon, Room 601, Building 16, MICT Park, Universities Hlaing Campus, Hlaing Township, Yangon, Myanmar","Myanmar","Yangon"
"29",243,"nLocate","Nepal, Lalitpur, Pulchowk","Nepal","Lalitpur"
"30",254,"Sportlyzer","Estonia, Tartu, Komp","Estonia","Tartu"
"31",261,"Skilbook","Belarus, Minsk, Minsk","Belarus","Minsk"
"32",262,"Rubbee","Lithuania, Kaunas, Terminalo g. 3, Biruliskiu k, Karmelavos sen.","Lithuania","Kaunas"
"33",263,"MONAI | Innospark ","Lithuania, Vilnius, Paupio 28, Vilnius","Lithuania","Vilnius"
"34",273,"INNOVARE Digital","Switzerland, Lausanne, 18 Av. D'Ouchy","Switzerland","Lausanne"
"35",277,"tikiCheck Sarl","Switzerland, Lausanne, Rue Marconi 19 - 1920 Martigny","Switzerland","Lausanne"
"36",280,"datapine","Germany, Berlin, Skalitzer Strasse 33","Germany","Berlin"
"37",284,"Печкин-mail","Russia, Moscow, 4-ый Лесной переулок, д.4","Russia","Moscow"
"38",285,"hopox","Russia, Rostov-on-Don, ул. Сельмаш 90а/17б оф 509","Russia","Rostov-on-Don"
"39",289,"Intelligence Node","India, Mumbai, 101, Notan Heights, Turner Road, Bandra West, Mumbai - 400050","India","Mumbai"
"40",296,"Montemedia - Human Focused Advertising","Switzerland, Zurich, Impact Hub, Sihlquai 131, CH-8005 Zurich","Switzerland","Zurich"
"41",307,"evenito","Switzerland, Zurich, Zahringerstrasse 51","Switzerland","Zurich"
